stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10284,1040,Ibarsusi,,43.2505,-2.90194,1,,0,
10285,4653,Oka,,43.2663,-2.68621,4,,0,
10286,5084,Castaño Nuevo,,43.2787,-3.16462,3,,0,
10287,4546,Markina Plaza,,43.2671,-2.49733,5,,0,
10288,5418,Basozabal,,43.2988,-2.92332,2,,0,
10289,5451,Ospitale Psikiatrikoa / Hospital Psiquiátrico,,43.2898,-2.85425,2,,0,
10290,4481,Larrabeiti,,43.2039,-2.77315,3,,0,
10291,4518,Urtiaga Industrialdea Tva,,43.1853,-2.5153,5,,0,
10292,4440,Negurigane,,43.335,-2.99824,2,,0,
10293,4185,Zugazarte Triángulo,,43.3361,-3.01002,2,,0,
10294,3539,Ziarreta Cantabrico,,43.4041,-2.96857,3,,0,
10295,4836,Uribiarte,,43.0697,-2.9238,4,,0,
10296,4635,Ariatza,,43.2709,-2.68532,4,,0,
10297,5437,Bilbobarri,,43.2874,-2.89133,2,,0,
10298,4092,Isuskitza Hipika,,43.1696,-3.02863,3,,0,
10299,4640,Oka,,43.2665,-2.68601,4,,0,
10300,5342,Obieta 33,,43.3041,-2.97139,2,,0,
10301,4174,Algortako Etorb. 12 Regoyos,,43.3392,-3.00861,2,,0,
10302,5203,Otxaran,,43.22,-3.16803,3,,0,
10303,3429,Tubacex,,43.1337,-2.9714,4,,0,
10304,4111,Andra Mari 5,,43.4131,-2.93534,3,,0,
10305,3638,Parrokia,,43.1765,-2.57644,5,,0,
10306,3270,Olatxu,,43.3279,-2.76149,3,,0,
10307,3556,Kareaga Goikoa 11 El Calero,,43.239,-2.89828,2,,0,
10308,3385,Tubos Reunidos,,43.049,-3.00395,4,,0,
10309,3612,Etxebizker Mikel Deuna,,43.416,-2.7509,4,,0,
10310,4341,Goikolexea,,43.2671,-2.78451,3,,0,
10311,5092,La Jara,,43.2736,-3.14829,3,,0,
10313,1001,Alameda Recalde 29,,43.2642,-2.93435,1,,0,
10314,3278,Goiri,,43.3419,-2.77473,3,,0,
10315,3634,Uribe,,43.1666,-2.55895,5,,0,
10316,5137,Avda. Encartaciones,,43.1895,-3.20044,4,,0,
10317,4756,La Cadena,,43.3305,-3.13536,3,,0,
10318,3216,Matxinena,,43.2778,-2.62409,5,,0,
10319,3194,San Juan,,43.2189,-2.73077,3,,0,
10320,5142,Atxondo Geltokia / Estación,,43.1315,-2.58507,5,,0,
10321,3650,San Cristobal,,43.3679,-2.69427,4,,0,
10322,0207,Maurice Ravel Begiratokia / Mirador,,43.2696,-2.92241,1,,0,
10323,4178,Telletxe 2 Geltokia / Estación,,43.3513,-3.00944,2,,0,
10324,3595,Dondiz,,43.3934,-2.77081,4,,0,
10325,4795,Zelaieta,,43.0439,-2.66308,5,,0,
10326,1021,Egirletabekoa Baserriak / Caserios,,43.2779,-2.9008,1,,0,
10327,3877,Etxebarria,,43.2544,-2.47753,5,,0,
10328,5462,Elejalde,,43.3395,-2.65483,5,,0,
10329,3591,Harrizurieta,,43.3882,-2.7713,4,,0,
10330,3786,Olatxu,,43.1544,-2.87474,3,,0,
10331,4434,Artatzagane Farmazia,,43.3325,-2.98898,2,,0,
10332,0111,Sarriko Lehendakari Aguirre 88,,43.2748,-2.95867,1,,0,
10333,4648,Etxe Barriak,,43.2917,-2.70234,4,,0,
10334,4367,Aurrekoetxe,,43.3493,-2.89946,3,,0,
10335,0837,San Ignacio Lehendakari Aguirre 147,,43.2777,-2.96082,1,,0,
10336,5049,El Kasko Plaza Las Llanas,,43.3089,-3.00745,2,,0,
10337,3443,Anuntzibai Elkartegi,,43.1431,-2.94086,4,,0,
10338,3875,L. Leguizamon Industrialdea Bidegurutzea / Cruce,,43.2488,-2.89482,2,,0,
10339,4562,Udaletxea,,43.3794,-2.86735,3,,0,
10340,4084,Zubiete 56 Isasi,,43.1881,-3.05471,3,,0,
10341,4015,Etxezuri,,43.3175,-2.81512,3,,0,
10342,4075,Artekona,,43.1502,-3.10574,3,,0,
10343,3125,El Casal,,43.3221,-3.07237,3,,0,
10344,3337,Kareaga,,43.2866,-3.00411,2,,0,
10345,3630,Aierdi,,43.317,-2.4785,5,,0,
10346,4101,Albitxu,,43.1438,-3.10945,3,,0,
10347,4708,Lauaxeta,,43.3569,-2.85043,3,,0,
10348,4883,Doctor Areilza Parkea,,43.325,-3.02077,2,,0,
10349,4102,Albitxu,,43.1437,-3.10931,4,,0,
10350,5082,Urgitxieta,,43.3755,-2.99004,3,,0,
10351,0231,San Isidro,,43.2607,-2.91259,1,,0,
10352,4208,Mayor Kalea 28 Metro,,43.3267,-3.01161,2,,0,
10353,4515,Goitondobekoa Hambre,,43.1943,-2.52107,5,,0,
10354,5337,Altzaga - Erandiogoikoa Artetxe,,43.303,-2.96092,2,,0,
10355,0265,Kastrexana,,43.2569,-2.97051,1,,0,
10356,4475,Mendieta,,43.2099,-2.79202,3,,0,
10357,0209,Maurice Ravel Teléfonica,,43.2679,-2.91852,1,,0,
10358,4605,Torre De Ugao Geltokia / Estación,,43.1795,-2.90241,3,,0,
10359,4133,Aitzondo Ospitalea / Hospital,,43.4189,-2.94372,3,,0,
10360,3639,Vera Cruz Komentua / Convento,,43.1821,-2.57429,5,,0,
10361,3427,Zumalakarregi Egoitza / Residencia,,43.1403,-2.96567,4,,0,
10362,4583,Zelaia,,43.3466,-2.48754,5,,0,
10363,4773,Nesilla,,43.3057,-3.12115,3,,0,
10364,4157,Azkorri,,43.3773,-3.00882,2,,0,
10365,3930,Aperribai,,43.2405,-2.87382,2,,0,
